,Date,DR,WS,TEMP,HUMAN,Eo [mm/d],ANIMALS,HUMAN_EXT
0,2019-08-01,17994899.52,4.3037,18.687,6.85708e-05,2.01298250373053,0.00011028856112141562,0.0001788593611214156
1,2019-08-02,14031610.559999999,4.0746,18.994,6.85708e-05,1.9408961719229973,0.00011007162604159619,0.0001786424260415962
2,2019-08-03,16541634.24,2.4538,19.4186,6.85708e-05,1.3349308415633363,0.00010824804681356206,0.00017681884681356206
3,2019-08-04,15149056.32,2.3459,21.8475,6.85708e-05,1.3693959501654251,0.00010835176538125869,0.0001769225653812587
4,2019-08-05,13920336.0,2.1874,22.4566,6.85708e-05,1.3224203601164481,0.00010821039803572571,0.00017678119803572572
5,2019-08-06,18210795.84,1.9914,22.5046,6.85708e-05,1.2424204945437762,0.00010796964813503872,0.00017654044813503872
6,2019-08-07,18442546.56,3.4421,22.653,6.85708e-05,1.8509864988405744,0.00010980105377612495,0.00017837185377612497
7,2019-08-08,18406889.28,2.4835,22.3631,6.85708e-05,1.4422762386444505,0.00010857108977746563,0.00017714188977746565
8,2019-08-09,18090112.32,5.6401,20.6511,6.85708e-05,2.643660834227157,0.00011218651112852621,0.0001807573111285262
9,2019-08-10,8012200.32,4.6004,18.1908,6.85708e-05,2.0989759866109927,0.00011054734808705614,0.00017911814808705616
10,2019-08-11,18803482.560000002,1.6842,19.3821,6.85708e-05,1.0365423197676862,0.00010735008271732014,0.00017592088271732015
11,2019-08-12,19006297.92,1.8508,20.4991,6.85708e-05,1.1309411435220293,0.00010763416453772248,0.0001762049645377225
12,2019-08-13,19065291.84,4.1714,20.2969,6.85708e-05,2.041720068019921,0.00011037504333859351,0.00017894584333859353
13,2019-08-14,19006073.28,2.6559,20.7508,6.85708e-05,1.458958767767663,0.00010862129382719585,0.00017719209382719586
14,2019-08-15,16183126.08,4.5563,20.39,6.85708e-05,2.198546104101432,0.00011084699228927594,0.00017941779228927593
15,2019-08-16,19527436.8,1.7743,19.339,6.85708e-05,1.0702002761794867,0.00010745137225831452,0.0001760221722583145
16,2019-08-17,19806750.72,3.0378,21.8121,6.85708e-05,1.6512515614577339,0.0001091999756868754,0.0001777707756868754
17,2019-08-18,17460740.16,3.9792,18.4684,6.85708e-05,1.8794085212768574,0.00010988658640833469,0.0001784573864083347
18,2019-08-19,19954131.84,1.7144,18.8867,6.85708e-05,1.0354074400675526,0.00010734666743439256,0.00017591746743439256
19,2019-08-20,19306555.2,4.5302,18.5865,6.85708e-05,2.0936351682131407,0.00011053127554131287,0.0001791020755413129
20,2019-08-21,19689022.080000002,3.9848,17.1965,6.85708e-05,1.820475920128145,0.00010970923588690303,0.00017828003588690305
21,2019-08-22,20243079.36,2.519,16.966,6.85708e-05,1.2772996255990716,0.00010807461265313509,0.0001766454126531351
22,2019-08-23,20449722.24,2.1282,17.7235,6.85708e-05,1.158358877345433,0.00010771667488505613,0.00017628747488505615
23,2019-08-24,20849996.16,3.1499,18.7143,6.85708e-05,1.5761484343647179,0.00010897396192723351,0.0001775447619272335
24,2019-08-25,20643837.12,2.2578,19.6705,6.85708e-05,1.2669535897794753,0.00010804347751211653,0.00017661427751211654
25,2019-08-26,20886474.240000002,0.9502,21.7412,6.85708e-05,0.7962513973744363,0.00010662695630594375,0.00017519775630594374
26,2019-08-27,20817233.28,1.8403,22.2565,6.85708e-05,1.1731861443506786,0.00010776129574827156,0.00017633209574827158
27,2019-08-28,20791546.56,3.6898,23.7469,6.85708e-05,2.000903435690292,0.0001102522106299459,0.00017882301062994592
28,2019-08-29,20837848.32,5.0117,22.7021,6.85708e-05,2.5077297992265213,0.00011177744315144373,0.00018034824315144374
29,2019-08-30,19822613.76,3.699,23.7096,6.85708e-05,2.0032432524643453,0.00011025925202497759,0.00017883005202497758
30,2019-08-31,20443881.6,4.3862,24.8671,6.85708e-05,2.3522020675503073,0.00011130940129053451,0.00017988020129053453
31,2019-09-01,20972010.24,4.1153,19.853,5.98697e-05,1.998162174129643,0.0001102439611354779,0.0001701136611354779
32,2019-09-02,21835820.16,2.9094,19.9722,5.98697e-05,1.5315090412516665,0.00010883962508326806,0.00016870932508326804
33,2019-09-03,21872030.400000002,3.3589,21.0902,5.98697e-05,1.7533298617384503,0.00010950716796124935,0.00016937686796124937
34,2019-09-04,22119194.880000003,2.1359,21.544,5.98697e-05,1.274629974528414,0.00010806657866175861,0.0001679362786617586
35,2019-09-05,22196574.720000003,4.0644,23.1545,5.98697e-05,2.1334976575537086,0.00011065123687226236,0.00017052093687226235
36,2019-09-06,12193511.040000001,6.8894,18.498,5.98697e-05,2.9801045545404254,0.00011319899773300182,0.00017306869773300182
37,2019-09-07,9729322.56,5.2008,15.5571,5.98697e-05,2.165568502106765,0.00011074775019245142,0.00017061745019245143
38,2019-09-08,22536791.999999996,3.2146,15.2142,5.98697e-05,1.4577393592578467,0.00010861762416505912,0.00016848732416505912
39,2019-09-09,22764551.04,2.0792,17.9436,5.98697e-05,1.14674027566584,0.00010768171011129732,0.00016755141011129732
40,2019-09-10,23038439.04,1.6016,21.642,5.98697e-05,1.0598214754400521,0.00010742013851524028,0.00016728983851524028
41,2019-09-11,23303306.88,2.1091,22.6316,5.98697e-05,1.2949269113191744,0.00010812765983335366,0.00016799735983335368
42,2019-09-12,23412957.119999997,2.3526,24.0197,5.98697e-05,1.4386437597728579,0.00010856015827250218,0.00016842985827250216
43,2019-09-13,23407583.040000003,2.3392,25.078,5.98697e-05,1.4645294366255934,0.00010863805808004435,0.00016850775808004435
44,2019-09-14,23054716.8,4.1742,23.969,5.98697e-05,2.2179503840737516,0.00011090538711835218,0.00017077508711835218
45,2019-09-15,20808290.88,4.0313,22.4308,5.98697e-05,2.0862435677833466,0.00011050903141556776,0.00017037873141556776
46,2019-09-16,23180644.8,3.265,24.7628,5.98697e-05,1.858595366257472,0.00010982395174053832,0.00016969365174053833
47,2019-09-17,23445936.0,3.4518,25.4951,5.98697e-05,1.9689666937727073,0.00011015610087538713,0.00017002580087538714
48,2019-09-18,23757969.599999998,3.3936,26.0406,5.98697e-05,1.964344928573288,0.00011014219223310636,0.00017001189223310638
49,2019-09-19,24058503.36,4.6622,24.7725,5.98697e-05,2.467955203567222,0.00011165774632587667,0.0001715274463258767
50,2019-09-20,24141093.12,3.6991,24.8342,5.98697e-05,2.0507608254990823,0.0001104022504026262,0.0001702719504026262
51,2019-09-21,24319820.16,3.3096,25.072,5.98697e-05,1.8899040614703553,0.00010991817146464892,0.00016978787146464892
52,2019-09-22,24463736.64,2.8879,26.2976,5.98697e-05,1.7470083365099904,0.00010948814409714598,0.000169357844097146
53,2019-09-23,24098964.48,4.3721,25.9891,5.98697e-05,2.3993946830272055,0.00011145142174779268,0.00017132112174779267
54,2019-09-24,10304124.48,4.933,18.6282,5.98697e-05,2.2484939099806525,0.00011099730415816315,0.00017086700415816316
55,2019-09-25,13351910.4,5.7474,18.642,5.98697e-05,2.558026300079727,0.00011192880437559871,0.0001717985043755987
56,2019-09-26,24814762.56,4.8487,16.9951,5.98697e-05,2.124566263406357,0.0001106243589239236,0.0001704940589239236
